publisher,Number of publications
The Scientific and Technological Research Council of Turkey (TUBITAK-ULAKBIM) - DIGITAL COMMONS JOURNALS,159
sPage.direcT,158
AMG Transcend Association,157
Chinese Center for Disease Control and Prevention,156
College of Physicians and Surgeons Pakistan,154
Universitas Sebelas Maret,154
Addleton Academic Publishers,154
Academy of Science of South Africa,153
Universitas Mataram,153
Advanced Research Publications,153
Universitas Muhammadiyah Sidoarjo,152
Western Journal of Emergency Medicine,151
The Russian Academy of Sciences,150
"Physicians Postgraduate Press, Inc",148
Edward Elgar Publishing,148
EManuscript Technologies,147
Knowledge E DMCC,147
Universitas Udayana,147
American Speech Language Hearing Association,145
WORLD SCIENTIFIC,145
Austin Publishing Group,144
A and V Publications,143
LLC CPC Business Perspectives,142
Innovare Academic Sciences Pvt Ltd,142
Scholar Publishing,140
Portland Press Ltd.,139
Japanese Society of Internal Medicine,136
SPIE,135
Global Academic Excellence (M) Sdn Bhd,135
CSIRO Publishing,135
Future Science Ltd,134
"EMH Swiss Medical Publishers, Ltd.",134
Institute of Development Studies (IDS),133
CMA Impact Inc.,133
"Open Access Text Pvt, Ltd.",133
Akademiai Kiado Zrt.,129
"Academy of Medicine, Singapore",129
Asociatia LUMEN,128
"Frontline Medical Communications, Inc.",128
Valley International,128
Human Kinetics,128
Universitas Negeri Semarang,127
United Nations Publications,127
Institute for Operations Research and the Management Sciences (INFORMS),126
Royal College of Surgeons of England,126
Heighten Science Publications Corporation,125
Institute of Research and Community Services Diponegoro University (LPPM UNDIP),125
SciVision Publishers LLC,125
BiomedGrid LLC,124
The Russian Presidential Academy of National Economy and Public Administration,124
United Nations,124
Blue Eyes Intelligence Engineering and Sciences Engineering and Sciences Publication - BEIESP,122
Pakistan Journal of Medical Sciences,121
AkiNik Publications,121
Environmental Health Perspectives,121
"Remedium, Ltd.",120
National Library of Serbia,120
PLUS COMMUNICATION CONSULTING SRL,118
American Roentgen Ray Society,118
Kluwer Law International BV,118
STAR Scholars Network,118
Sumy State University,117
"Macrothink Institute, Inc.",116
RAND Corporation,116
SMC Media,116
"Scholink Co, Ltd.",116
Publishing House Helvetica (Publications),115
Association for Computational Linguistics,115
Research Centre of Industrial Problems of Development of NAS of Ukraine,115
Engineering Skill Development,114
IMR Press,113
Korean Association For Learner-Centered Curriculum And Instruction,113
Gavin Publishers,113
SCITEPRESS - Science and Technology Publications,113
Hogrefe Publishing Group,113
Taiwan Association for Aerosol Research,113
Inter-American Development Bank,112
The publishing house - SCIENTIFIC LIВRARY,112
Uniwersytet Jagiellonski - Wydawnictwo Uniwersytetu Jagiellonskiego,112
Birlesik Dunya Yenilik Arastirma ve Yayincilik Merkezi,112
Journal of Pure and Applied Microbiology,112
Book Publisher International (a part of SCIENCEDOMAIN International),111
BENTHAM SCIENCE PUBLISHERS,111
CV. Syntax Corporation Indonesia,111
IATED,110
E.U. European Publishing,110
Al-Kindi Center for Research and Development,109
Hamad bin Khalifa University Press (HBKU Press),109
"Farname, Inc.",109
Journal of Nepal Medical Association (JNMA),108
Pakistan Medical Association,108
Babes-Bolyai University,108
International Pharmaceutical Federation (FIP),107
"UiTM Press, Universiti Teknologi MARA",107
Annual Reviews,107
Academy of Management,107
AMALTEA Medical Publishing House,107
Universitas Negeri Surabaya,107
WHO Press,106
AIJR Publisher,106
Naksh Solutions,106
Victoria University of Wellington Library,106
AI Publications,105
Society of Pharmaceutical Tecnocrats,104
"Silicea - Poligraf, LLC",104
Universitas Islam Bandung (Unisba),104
International Union of Crystallography (IUCr),104
Universitas Muhammadiyah Malang,103
Paediatrician Publishers LLC,103
Herald Scholarly Open Access,102
Universitas Pahlawan Tuanku Tambusai,102
Singapore Medical Journal,102
Mapsci Digital Publisher OPC Pvt. Ltd.,102
Uniwersytet Mikolaja Kopernika/Nicolaus Copernicus University,101
The World Bank,101
Brawijaya University,101
GN1 Genesis Network,101
Universitas Negeri Padang,101
Rezekne Academy of Technologies,101
Bilimsel Tip Publishing House,101
Institut Agama Islam Nasional Laa Roiba Bogor,101
John Libbey Eurotext,101
ALUNA,101
Universitas Warmadewa,100
Open Access Publishing Group,99
Weston Medical Publishing,99
Penerbit Universiti Kebangsaan Malaysia (UKM Press),98
Discover STM Publishing Ltd.,97
Australian Government Department of Health,97
British Institute of Radiology,97
Peoples' Friendship University of Russia,97
Universitas Muhammadiyah Magelang,96
International Union Against Tuberculosis and Lung Disease,96
Black Sea Research Institute of Economics and Innovation,96
University of Alberta Libraries,96
Clinical Laboratory Publications,96
Asian Development Bank,95
Growing Science,95
Indian Association of Preventive and Social Medicine,95
Akshantala Enterprises Private Limited,94
Deutscher Arzte-Verlag GmbH,94
Consilium Medicum,93
Cleveland Clinic Journal of Medicine,93
Scientific and Literature Open Access Publishing,93
Academic World Research,93
University of the Philippines Manila,92
"AEPress, s.r.o.",92
INPLASY - International Platform of Registered Systematic Review and Meta-analysis Protocols,92
Journal of Clinical and Analytical Medicine,91
ECORFAN,91
University of Illinois Libraries,91
"Editorial Committee of Japanese Journal of Infectious Diseases, National Institute of Infectious Dis",91
Granthaalayah Publications and Printers,91
Al-Jamiah Research Centre,91
California Digital Library (CDL),90
"World Bank, Washington, DC",90
Universitas Negeri Yogyakarta,90
"Aurora Group, s.r.o",90
Universiti Sains Islam Malaysia,89
TMR Publishing Group,89
Research Synergy Foundation,89
Universitas Tarumanagara,89
"Science and Education Publishing Co., Ltd.",89
Budapest International Research and Critics Institute,89
Bucharest University of Economic Studies,89
AWEJ Group,88
Medycyna Praktyczna,88
Duke University Press,88
Ital Publication,88
Lyson Center for Civic Agriculture and Food Systems,88
The American Association of Immunologists,88
